Date,Day,Mercury,Venus,Earth,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,Isis
1999-04-29,Thu,6063.30042984,2306.74895717,1658.94305166,936.496243041,373.692668957,396.84111033,313.716683877,302.445208946,248.920753348,145.05975968
1999-04-30,Fri,6066.56148079,2308.37438918,1659.91416863,936.979592569,373.784382284,396.876842343,313.727615734,302.451187594,248.927331121,145.060730688
1999-05-01,Sat,6069.8913535,2309.99974557,1660.88480107,937.463646875,373.876104911,396.912585056,313.738556305,302.457175093,248.933917548,145.061710545
1999-05-02,Sun,6073.29533982,2311.62500237,1661.85496743,937.948411036,373.967837061,396.948338715,313.749505837,302.46317169,248.940512874,145.062699499
1999-05-03,Mon,6076.77892805,2313.25013425,1662.82468443,938.433888876,374.059577723,396.98410233,313.76046334,302.469176394,248.94711611,145.063696558
1999-05-04,Tue,6080.34779752,2314.87511462,1663.79396695,938.920083025,374.151324714,397.019873738,313.771426653,302.475187044,248.953725093,145.064699563
1999-05-05,Wed,6084.00780673,2316.49991593,1664.76282797,939.406995147,374.243074901,397.055649828,313.782392666,302.481200529,248.960336714,145.065705402
1999-05-06,Thu,6087.76497336,2318.12451013,1665.73127883,939.894626387,374.334824656,397.091426993,313.793357771,302.487213244,248.966947366,145.066710468
1999-05-07,Fri,6091.62544386,2319.74886926,1666.69932949,940.382977922,374.426570404,397.127201679,313.804318415,302.493221634,248.973553496,145.067711209
1999-05-08,Sat,6095.59545022,2321.37296599,1667.66698868,940.872051429,374.518309089,397.162970854,313.815271567,302.499222668,248.98015207,145.068704592
1999-05-09,Sun,6099.68125105,2322.99677408,1668.63426383,941.36184952,374.610038618,397.198732443,313.826215152,302.505214271,248.986741016,145.069688544
1999-05-10,Mon,6103.88905415,2324.62026906,1669.60116105,941.852376392,374.701758501,397.234485978,313.837148705,302.511195978,248.993319867,145.070662597
1999-05-11,Tue,6108.22491742,2326.24342917,1670.56768527,942.343638691,374.793470724,397.270233466,313.848074232,302.517169795,248.99989063,145.07162876
1999-05-12,Wed,6112.69462403,2327.86623591,1671.53383998,942.835646071,374.885180304,397.305979948,313.858996773,302.523140763,249.006458345,145.072592071
1999-05-13,Thu,6117.30352798,2329.48867352,1672.49962609,943.328410559,374.976894657,397.341732859,313.869923766,302.529116318,249.013030451,145.07355997
1999-05-14,Fri,6122.05636691,2331.11072674,1673.46503981,943.821944344,375.068621388,397.377499826,313.880862838,302.535104089,249.019614572,145.074540082
1999-05-15,Sat,6126.95704139,2332.73237784,1674.4300706,944.316256716,375.16036523,397.413285603,313.891818744,302.541108829,249.026215465,145.075537163
1999-05-16,Sun,6132.00836267,2334.35360437,1675.39470079,944.811351784,375.25212576,397.449089788,313.902791082,302.547130137,249.032832728,145.07655081
1999-05-17,Mon,6137.21177312,2335.97437906,1676.35890803,945.307228378,375.343897306,397.484906731,313.913774204,302.553162366,249.039460712,145.077575376
1999-05-18,Tue,6142.5670461,2337.59467217,1677.32266987,945.803882281,375.435671178,397.520727763,313.92475944,302.559196844,249.046090748,145.078602191
