Timestamp,G.Moon/G.Sun
1932-10-03 12:00,48.477
1932-10-18 12:00,225.249
1932-11-01 12:00,43.648
1932-11-17 12:00,228.172
1932-12-01 12:00,50.809
1932-12-16 12:00,220.516
1932-12-30 12:00,43.141
1933-01-15 12:00,225.402
1933-01-29 12:00,46.718
1933-02-13 12:00,219.453
1933-02-28 12:00,49.133
1933-03-15 12:00,227.697
1933-03-29 12:00,40.367
1933-04-13 12:00,223.577
1933-04-28 12:00,43.181
1933-05-12 12:00,219.592
1933-05-28 12:00,46.823
1933-06-11 12:00,228.921
1933-06-26 12:00,40.444
1933-07-10 12:00,223.775
1933-07-26 12:00,46.619
1933-08-09 12:00,230.141
1933-08-24 12:00,42.058
1933-09-07 12:00,222.979
1933-09-23 12:00,51.007
1933-10-07 12:00,226.38
1933-10-22 12:00,47.078
1933-11-06 12:00,228.58
1933-11-20 12:00,42.364
1933-12-05 12:00,219.574
1933-12-20 12:00,50.184
1934-01-04 12:00,221.718
1934-01-18 12:00,43.265
1934-02-03 12:00,225.276
1934-02-17 12:00,48.382
1934-03-05 12:00,231.148
1934-03-18 12:00,40.379
1934-04-03 12:00,226.389
1934-04-17 12:00,44.06
1934-05-02 12:00,222.45
1934-05-17 12:00,47.207
1934-06-01 12:00,232.594
1934-06-15 12:00,39.606
1934-06-30 12:00,228.998
1934-07-15 12:00,43.393
1934-07-29 12:00,224.746
1934-08-14 12:00,48.308
1934-08-27 12:00,219.576
1934-09-12 12:00,42.741
1934-09-26 12:00,225.873
1934-10-12 12:00,50.075
1934-10-26 12:00,229.786
1934-11-10 12:00,45.35
1934-11-24 12:00,220.81
1934-12-09 12:00,40.278
1934-12-24 12:00,222.293
1935-01-08 12:00,48.444
1935-01-23 12:00,223.808
1935-02-06 12:00,42.504
1935-02-22 12:00,226.528
1935-03-08 12:00,49.441
1935-03-23 12:00,219.516
1935-04-06 12:00,42.566
1935-04-22 12:00,225.934
1935-05-06 12:00,47.505
1935-05-21 12:00,221.611
1935-06-04 12:00,40.057
1935-06-20 12:00,231.417
1935-07-04 12:00,43.69
1935-07-19 12:00,228.376
1935-08-03 12:00,47.151
1935-08-17 12:00,224.886
1935-09-01 12:00,39.969
1935-09-15 12:00,220.425
1935-10-01 12:00,44.29
1935-10-15 12:00,227.723
1935-10-31 12:00,49.659
1935-11-13 12:00,220.194
1935-11-29 12:00,43.815
1935-12-13 12:00,223.369
1935-12-29 12:00,51.327
